"X","Y"
-1027184.12008504,62953.4789405752
-1867178.03730593,-34159.7998176456
-1867109.47521115,-33179.084606105
-1249719.71231682,667879.305292866
-1613511.59986619,640583.422284814
-2139356.9593489,-67184.4894884263
-1425990.24276419,1247272.90564709
-1896079.71823009,-316710.260666503
-2261794.69504863,78779.6321413974
-2136331.48538754,-77929.7845574188
-2236134.11195846,-320337.268313711
-2263884.34355131,76328.7997063802
-2058277.18036231,-110099.901059719
-2257466.82152566,137772.059901083
-2108215.19158154,-37593.9699342418
-2239991.35484548,132511.500921002
-1554198.38327674,620089.673884802
-1577971.9959597,792368.906325808
-2261897.46918289,103221.92725702
-1220387.63713418,704973.878933897
-1649218.67514969,831869.422705931
-1304799.98733795,756814.456585105
-2137293.23100342,-76032.612386282
-2262133.67023983,76483.630717653
-1569670.43558685,888103.153784708
-1636917.70966501,829276.850738129
-1816678.3101751,43730.2688191715
-1655341.18403655,841119.793544798
-1563953.88891057,610972.987952978
-1259624.38681201,675103.503862833
-1493654.7511752,590393.098849294
-2100538.63525934,-234395.341400076
-2260156.73316004,85384.4741418475
-1569003.80382363,888175.499253747
-1299107.81464777,637014.611177535
-1492008.31639959,590501.55756894
-1242355.49675228,709260.866283048
-1364410.86092811,631705.334788039
-2259886.02865071,92942.1672520525
-2237977.97350379,128352.904521125
-2260206.7823848,83730.5695160396
-2057099.94608964,-110450.461943397
-2102714.08937134,-239554.426012311
-1824162.58292971,220955.201674834
-2048279.81001438,40486.5339140536
-1568992.11730739,888132.333353595
-1848179.0985514,-83347.7339568669
-1563604.92195167,611698.932531054
-1596029.45361219,715421.24239394
-1425942.96241268,1247252.54130687
-2404300.56732506,43583.3224992651
-2126029.32035274,-58953.6429926668
-1848166.41297125,561075.390514067
-2139356.9593489,-67184.4894884263
-2152100.07009826,-49377.9328324427
-1864066.28746845,187202.849523947
-2259346.86075859,90945.1519968338
-2273976.43320551,66435.5818939621
-2271230.39223705,101313.713320109
-1249717.4018114,667882.891776707
-1249615.36735956,667546.998699324
-1240368.80771658,838697.879344975
-1050417.74789109,1367257.4249364
-1841793.93068093,863767.698366077
