Area,S,Country,Source
27400,177,Albania,van Swaay & Warren 1999
2381741,121,Algeria,Safian et al. 2009
470,135,Andorra,van Swaay & Warren 1999
1246700,515,Angola,Safian et al. 2009
82523,195,Austria,van Swaay & Warren 1999
202910,128,Belarus,van Swaay & Warren 1999
30280,106,Belgium,van Swaay & Warren 1999
112760,515,Benin,Safian et al. 2009
51200,187,Bosnia,van Swaay & Warren 1999
566730,252,Botswana,Safian et al. 2009
108560,205,Bulgaria,van Swaay & Warren 1999
273600,157,Burkina Faso,Safian et al. 2009
25680,151,Burundi,Safian et al. 2009
472710,1607,Cameroon,Safian et al. 2009
9093510,292,Canada,Kerr 2001
622980,599,Central African Republic,Safian et al. 2009
1259200,46,Chad,Safian et al. 2009
51060,1251,Costa Rica,The Living Centre
55960,184,Croatia,van Swaay & Warren 1999
9240,43,Cyprus,van Swaay & Warren 1999
77210,151,Czech Republic,van Swaay & Warren 1999
2267050,2053,Democratic Republic of the Congo,Safian et al. 2009
42262,68,Denmark,van Swaay & Warren 1999
23180,9,Djibouti,Safian et al. 2009
995450,63,Egypt,Gilbert & Zalat 2007
28050,268,Equatorial Guinea,Safian et al. 2009
101000,13,Eritrea,Safian et al. 2009
1000000,382,Ethiopia,Safian et al. 2009
10180000,582,Europe,van Swaay & Warren 1999
303890,99,Finland,van Swaay & Warren 1999
547557,235,France,van Swaay & Warren 1999
257670,671,Gabon,Safian et al. 2009
10120,173,Gambia,Safian et al. 2009
348900,178,Germany,van Swaay & Warren 1999
227540,919,Ghana,Safian et al. 2009
128900,229,Greece,van Swaay & Warren 1999
245720,588,Guinea,Safian et al. 2009
28120,156,Guinea-Bissau,Safian et al. 2009
90530,157,Hungary,van Swaay & Warren 1999
68890,29,Ireland,van Swaay & Warren 1999
318000,883,Ivory Coast,Safian et al. 2009
569140,605,Kenya,Safian et al. 2009
62180,109,Latvia,van Swaay & Warren 1999
30360,93,Lesotho,Safian et al. 2009
96320,544,Liberia,Safian et al. 2009
160,112,Liechtenstein,van Swaay & Warren 1999
62650,112,Lithuania,van Swaay & Warren 1999
2590,95,Luxemburg,van Swaay & Warren 1999
25220,201,Macedonia,van Swaay & Warren 1999
94280,489,Malawi,Safian et al. 2009
1220190,60,Mali,Safian et al. 2009
320,18,Malta,van Swaay & Warren 1999
1030700,30,Mauritania,Safian et al. 2009
32870,81,Moldova,van Swaay & Warren 1999
446300,132,Morocco,Tennent 1996
786380,434,Mozambique,Safian et al. 2009
823290,224,Namibia,Safian et al. 2009
33690,70,Netherlands,van Swaay & Warren 1999
1266700,55,Niger,Safian et al. 2009
910770,1329,Nigeria,Safian et al. 2009
365245,93,Norway,van Swaay & Warren 1999
306190,150,Poland,van Swaay & Warren 1999
91605,116,Portugal,van Swaay & Warren 1999
2267050,897,Republic of the Congo,Safian et al. 2009
230080,179,Romania,van Swaay & Warren 1999
243044,1550,Rondonia,Emmel & Austin 1990. Tropical Leipdoptera.
24670,178,Rwanda,Safian et al. 2009
192530,298,Senegal,Safian et al. 2009
72180,715,Sierra Leone,Safian et al. 2009
48086,167,Slovakia,van Swaay & Warren 1999
20140,180,Slovenia,van Swaay & Warren 1999
627340,132,Somalia,Safian et al. 2009
1213090,665,South Africa,Woodhall 2005
500210,211,Spain,van Swaay & Warren 1999
2376000,343,Sudan,Safian et al. 2009
17200,312,Swaziland,Safian et al. 2009
407310,107,Sweden,van Swaay & Warren 1999
39516,196,Switzerland,van Swaay & Warren 1999
885800,1594,Tanzania,Safian et al. 2009
54390,418,Togo,Safian et al. 2009
155360,85,Tunisia,Tennent 1996
769630,335,Turkey,van Swaay & Warren 1999
200520,1244,Uganda,Safian et al. 2009
579290,207,Ukraine,van Swaay & Warren 1999
241930,59,United Kingdom,van Swaay & Warren 1999
9147420,842,United States,"BAMONA, www.butterfliesandmoths.org"
100910,205,Yugoslavia,van Swaay & Warren 1999
743390,904,Zambia,Safian et al. 2009
386850,527,Zimbabwe,Safian et al. 2009
